Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11579
Completed Trials,127
Pruned Trials,11452
Best Trial Number,11288
Best Value,1266.7027
Optimization Time,300m 13s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
VWMA,100,2,5,1.1,2,1.3,2,10.0,6.0,6,5,KAMA,175,-2.5,KAMA,125,0.5,453.21%,20.88%,177,46.38,21.71,1.43,1.76,4.77,21.71,100.00
HMA,475,2,8,2.4,2,1.0,2,10.0,5.0,4,3,DEMA,200,-2.5,DEMA,75,0.0,452.54%,11.63%,128,79.13,38.90,1.56,2.27,2.99,38.90,100.00
HMA,500,3,10,2.5,2,2.0,2,10.0,3.0,4,2,DEMA,175,-3.0,DEMA,150,1.0,448.72%,18.55%,118,65.43,24.20,1.78,2.14,2.76,24.20,83.33
HMA,500,4,9,1.3,2,1.0,2,10.0,5.0,3,2,ALMA,150,-1.5,ALMA,100,2.5,445.90%,37.96%,150,19.69,11.75,1.26,1.74,6.71,11.75,83.33
HMA,500,4,10,1.4,3,1.3,2,10.0,4.0,4,2,EMA,200,-2.5,EMA,50,1.0,435.57%,29.58%,120,20.00,14.72,0.98,1.77,7.08,14.72,83.33
DEMA,100,8,4,1.2,2,1.1,3,10.0,7.0,6,4,DEMA,200,-2.5,DEMA,175,1.5,434.79%,48.68%,189,1.06,8.93,0.79,1.37,9.45,8.93,66.67
DEMA,100,2,4,1.6,2,1.6,3,10.0,5.0,7,7,DEMA,200,-3.0,DEMA,150,0.5,432.78%,23.59%,171,52.17,18.35,2.12,1.87,4.24,18.35,100.00
EMA,500,3,7,1.3,2,1.3,2,8.0,5.0,6,3,ALMA,150,-1.0,ALMA,50,3.0,432.01%,18.89%,100,62.52,22.87,1.33,2.35,3.12,22.87,100.00
DEMA,175,4,2,1.0,2,1.2,2,7.0,3.0,2,5,KAMA,50,-1.0,KAMA,50,0.0,431.12%,28.20%,275,18.90,15.29,1.04,1.54,4.97,15.29,66.67
HMA,425,4,9,1.7,2,2.3,6,5.0,4.0,7,5,TMA,100,-3.0,TMA,50,0.5,425.98%,17.02%,114,75.63,25.03,2.32,2.49,3.21,25.03,100.00
HMA,500,2,10,1.4,2,2.0,2,8.0,3.0,4,2,DEMA,175,-2.5,DEMA,175,0.5,422.11%,27.67%,144,45.24,15.26,1.75,1.76,3.79,15.26,100.00
DEMA,225,2,3,1.4,3,1.0,2,9.0,3.0,4,5,TMA,100,-1.5,TMA,75,1.5,421.11%,31.85%,174,18.23,13.22,1.10,1.49,4.49,13.22,83.33
HMA,400,4,8,1.1,2,1.3,4,5.0,3.0,6,4,WMA,125,-1.0,WMA,175,0.0,420.73%,14.33%,168,59.88,29.36,1.20,1.91,3.72,29.36,100.00
TMA,250,3,3,1.1,2,1.0,3,10.0,4.0,6,4,DEMA,125,-3.0,DEMA,75,1.5,419.43%,37.26%,154,7.83,11.26,0.78,1.59,6.79,11.26,83.33
HMA,475,2,9,1.1,2,2.0,3,8.0,5.0,4,3,DEMA,200,-2.5,DEMA,200,0.0,408.16%,27.94%,146,21.93,14.61,0.95,1.76,5.17,14.61,83.33
HMA,450,4,6,2.0,2,1.0,2,9.0,7.0,6,6,DEMA,125,-3.0,DEMA,100,0.0,407.78%,24.69%,142,31.65,16.52,1.05,1.77,4.10,16.52,83.33
HMA,500,5,8,2.1,2,2.0,4,6.0,3.0,5,5,ALMA,150,-3.0,ALMA,50,0.5,407.03%,11.82%,120,81.50,34.45,2.23,2.20,2.62,34.45,100.00
HMA,475,4,10,1.5,2,1.9,2,8.0,3.0,2,3,DEMA,200,-2.5,DEMA,150,1.0,405.69%,29.69%,142,27.95,13.67,1.40,1.66,5.57,13.67,100.00
DEMA,225,4,5,1.7,2,1.0,2,9.0,5.0,3,5,DEMA,150,-2.5,DEMA,25,2.0,404.57%,27.43%,184,41.69,14.75,1.93,1.57,3.61,14.75,100.00
HMA,500,2,9,1.2,4,1.7,2,10.0,5.0,5,2,WMA,150,-3.0,WMA,50,1.0,397.78%,22.20%,117,46.89,17.92,1.34,2.00,3.70,17.92,83.33
HMA,475,3,7,2.1,2,1.3,6,8.0,4.0,6,6,VWMA,175,-3.0,VWMA,25,0.5,391.68%,13.23%,106,73.86,29.61,1.83,2.25,3.55,29.61,100.00
HMA,500,4,10,1.5,2,1.2,2,9.0,3.0,4,2,ALMA,150,-2.5,ALMA,125,1.5,389.61%,39.03%,144,13.31,9.98,1.19,1.63,7.56,9.98,83.33
T3,75,4,10,2.3,4,1.0,2,8.0,8.0,4,4,EMA,125,0.0,EMA,100,3.0,386.49%,20.82%,136,56.77,18.56,3.01,1.94,4.22,18.56,100.00
HMA,500,4,7,1.2,2,1.9,3,10.0,3.0,3,2,DEMA,100,-3.0,DEMA,75,1.0,385.38%,21.87%,150,36.57,17.62,0.93,1.95,4.56,17.62,100.00
DEMA,275,2,2,1.0,2,1.1,2,6.0,5.0,3,5,TMA,150,-1.0,TMA,75,1.0,384.86%,33.07%,200,5.00,11.64,0.82,1.42,6.73,11.64,66.67
HMA,475,4,9,1.5,2,1.4,4,7.0,3.0,7,3,KAMA,175,-1.5,KAMA,200,0.0,383.55%,32.08%,140,22.76,11.96,1.14,1.80,5.62,11.96,83.33
TMA,300,2,5,1.1,2,1.2,4,5.0,6.0,7,6,TMA,150,-1.5,TMA,125,0.5,382.56%,26.96%,128,39.65,14.19,1.52,1.86,4.86,14.19,100.00
DEMA,150,5,6,1.0,2,1.9,2,9.0,6.0,6,7,ALMA,175,-3.0,ALMA,25,2.0,370.53%,30.07%,171,28.70,12.32,1.16,1.90,5.82,12.32,100.00
DEMA,250,2,2,1.0,2,1.0,2,9.0,4.0,2,6,TMA,50,-1.5,TMA,50,1.0,365.00%,35.29%,248,12.13,10.34,1.15,1.41,5.07,10.34,83.33
DEMA,275,3,3,1.0,6,1.5,3,9.0,3.0,5,6,TMA,125,-3.0,TMA,50,1.0,362.84%,19.44%,126,55.79,18.67,1.77,2.00,3.82,18.67,100.00
DEMA,275,2,2,1.1,3,1.1,2,8.0,3.0,4,6,TMA,75,-1.0,TMA,75,1.5,359.23%,33.60%,200,11.22,10.69,1.02,1.50,5.14,10.69,83.33
HMA,500,4,6,2.1,2,1.4,6,7.0,3.0,6,6,VWMA,175,-3.0,VWMA,50,0.5,353.56%,22.46%,105,51.02,15.74,1.65,2.03,3.77,15.74,100.00
DEMA,225,2,2,1.2,2,1.3,2,8.0,4.0,3,6,HMA,50,-2.5,HMA,75,2.0,353.38%,28.46%,222,30.59,12.42,1.44,1.56,3.65,12.42,83.33
DEMA,225,2,2,1.1,3,1.2,2,9.0,5.0,2,4,TMA,75,-1.0,TMA,100,0.5,348.36%,25.73%,220,32.64,13.54,1.59,1.56,3.68,13.54,83.33
DEMA,200,4,2,1.2,5,1.2,2,8.0,3.0,5,6,TMA,100,-3.0,TMA,25,1.0,346.98%,15.16%,156,59.37,22.89,1.76,1.78,3.43,22.89,100.00
DEMA,300,2,4,1.3,6,1.0,2,9.0,3.0,3,4,TMA,50,-3.0,TMA,125,1.0,340.15%,24.85%,136,30.59,13.69,1.20,1.75,3.81,13.69,83.33
HMA,500,5,7,1.4,2,1.9,3,7.0,3.0,4,4,TMA,125,-3.0,TMA,50,1.0,336.74%,26.90%,130,24.17,12.52,1.01,1.86,5.34,12.52,83.33
HMA,450,3,7,2.0,3,2.2,5,5.0,4.0,7,4,TMA,100,-3.0,TMA,25,0.5,317.68%,12.79%,110,72.32,24.85,1.67,2.49,2.45,24.85,100.00
VWMA,300,2,5,1.0,2,1.3,4,7.0,5.0,3,5,TMA,150,-0.5,TMA,125,1.5,314.64%,33.53%,140,20.91,9.39,1.33,1.60,5.79,9.39,100.00
HMA,500,5,7,1.5,2,2.8,4,8.0,3.0,4,5,SMA,125,-3.0,SMA,25,1.0,313.30%,14.67%,116,39.65,21.35,0.94,1.84,3.86,21.35,83.33
DEMA,125,10,2,1.8,2,2.1,6,6.0,9.0,4,4,T3,50,-0.5,T3,100,0.5,312.85%,14.92%,194,46.30,20.97,1.00,1.75,2.79,20.97,100.00
DEMA,325,2,2,1.2,3,1.0,2,8.0,3.0,6,7,TMA,75,-1.5,TMA,75,1.5,309.24%,26.35%,174,12.80,11.73,1.10,1.46,5.39,11.73,83.33
DEMA,300,3,3,1.0,6,1.2,2,7.0,3.0,4,5,TMA,100,-3.0,TMA,125,0.5,304.43%,18.04%,130,36.89,16.88,0.83,1.77,3.37,16.88,100.00
