Optuna Metadata
Method,Optuna
Target,Net Profit %
Total Trials,11818
Completed Trials,417
Pruned Trials,11401
Best Trial Number,8846
Best Value,10381.4264
Optimization Time,300m 12s

Fixed Parameters
Parameter Name,Value
stopLongRR,3
stopShortRR,3
trailRRLong,1
trailRRShort,1

MA Type,MA Length,CC L,CC S,St L X,St L LP,St S X,St S LP,St L Max %,St S Max %,St L Max D,St S Max D,Tr L Type,Tr L Len,Tr L Off,Tr S Type,Tr S Len,Tr S Off,Net Profit%,Max DD%,Trades,Score,RoMaD,Sharpe,PF,Ulcer,Recover,Consist
DEMA,50,8,4,1.2,2,1.5,3,6.0,8.0,7,7,T3,175,-0.5,T3,25,0.0,1462.26%,23.82%,301,66.71,61.38,2.06,1.57,4.16,61.38,100.00
T3,25,4,2,1.2,3,2.1,2,5.0,5.0,4,7,T3,200,0.0,T3,100,0.0,1458.18%,10.31%,224,88.85,141.49,1.97,2.28,2.36,141.49,100.00
VWMA,50,6,5,1.0,2,1.7,2,5.0,3.0,6,6,T3,200,-0.5,T3,50,0.5,1448.42%,54.58%,257,21.27,26.54,1.04,1.51,8.76,26.54,83.33
VWMA,25,9,2,1.5,2,1.0,4,6.0,9.0,5,7,T3,200,0.0,T3,25,0.5,1441.90%,24.47%,299,71.98,58.93,1.73,1.66,3.48,58.93,100.00
DEMA,25,9,2,1.2,3,1.0,5,3.0,7.0,6,6,T3,200,0.0,T3,50,0.0,1437.44%,30.32%,307,71.25,47.41,1.63,2.07,4.02,47.41,100.00
DEMA,25,7,2,1.3,2,1.0,3,6.0,4.0,7,7,T3,200,0.0,T3,75,0.0,1436.30%,40.49%,306,59.35,35.47,1.49,1.94,4.71,35.47,100.00
SMA,25,3,5,1.2,2,1.0,4,10.0,4.0,5,6,T3,200,-0.5,T3,75,0.0,1413.74%,23.38%,273,66.49,60.46,1.79,1.68,4.97,60.46,100.00
DEMA,75,8,7,1.0,2,1.0,3,4.0,8.0,6,4,SMA,200,0.0,SMA,25,1.0,1398.68%,25.78%,289,56.19,54.26,1.55,1.50,4.42,54.26,100.00
T3,50,5,8,1.0,2,1.2,2,3.0,3.0,3,5,T3,200,0.0,T3,150,0.5,1395.86%,50.28%,205,33.33,27.76,1.21,1.70,8.86,27.76,83.33
ALMA,25,6,6,1.0,2,1.0,3,4.0,3.0,4,4,T3,150,0.0,T3,75,0.0,1386.78%,44.17%,337,21.97,31.40,1.11,1.40,7.37,31.40,83.33
DEMA,75,4,5,1.0,2,1.4,4,8.0,7.0,4,4,T3,200,0.0,T3,75,0.0,1379.62%,29.81%,275,66.21,46.28,2.20,1.77,5.01,46.28,100.00
DEMA,100,5,3,1.0,2,1.6,3,4.0,6.0,3,6,T3,200,0.0,T3,25,0.5,1378.22%,30.04%,287,66.73,45.88,2.11,1.74,4.49,45.88,100.00
TMA,50,3,5,1.0,2,1.3,4,8.0,5.0,4,3,T3,200,0.0,T3,75,0.0,1376.10%,33.34%,281,57.52,41.28,2.29,1.61,5.03,41.28,100.00
WMA,50,9,3,1.2,2,2.1,4,6.0,8.0,3,6,T3,200,0.0,T3,25,0.0,1373.30%,21.54%,236,83.73,63.75,1.91,2.30,3.05,63.75,100.00
ALMA,75,6,5,1.0,2,1.3,2,6.0,5.0,5,3,T3,200,0.0,T3,25,0.5,1371.11%,49.67%,349,27.27,27.60,1.35,1.47,6.96,27.60,83.33
TMA,25,9,6,1.0,2,2.3,4,8.0,4.0,5,5,T3,200,-0.5,T3,25,1.0,1369.57%,31.71%,260,61.71,43.19,1.65,1.79,4.32,43.19,83.33
ALMA,125,8,5,1.0,2,1.0,4,7.0,3.0,5,5,T3,200,0.0,T3,25,1.5,1354.20%,37.59%,257,38.30,36.02,1.07,1.62,6.09,36.02,100.00
DEMA,75,8,2,1.1,3,1.0,3,8.0,3.0,5,7,T3,175,0.0,T3,50,0.0,1352.66%,27.85%,295,74.98,48.57,3.89,1.70,3.47,48.57,100.00
DEMA,50,3,5,1.0,2,1.4,4,4.0,7.0,6,4,TMA,200,0.0,TMA,50,0.0,1347.69%,30.65%,317,53.53,43.97,1.39,1.81,5.60,43.97,83.33
T3,25,9,8,1.1,3,2.0,2,5.0,3.0,2,5,T3,200,0.0,T3,25,0.5,1347.62%,26.44%,279,59.10,50.96,1.57,1.60,3.67,50.96,83.33
DEMA,25,6,7,1.0,2,1.2,4,5.0,10.0,4,6,T3,175,-1.0,T3,100,0.0,1342.53%,23.86%,255,64.81,56.26,1.31,1.68,3.61,56.26,100.00
SMA,25,4,5,1.1,2,1.0,3,10.0,3.0,3,2,T3,200,-0.5,T3,25,0.0,1327.17%,27.32%,377,59.46,48.59,2.31,1.52,4.56,48.59,100.00
TMA,50,9,6,1.0,4,1.2,3,5.0,5.0,5,7,T3,200,0.0,T3,25,0.0,1323.49%,22.68%,241,75.11,58.35,1.41,2.05,3.42,58.35,100.00
EMA,25,8,9,1.2,2,1.7,4,3.0,8.0,2,5,T3,200,0.0,T3,25,0.5,1322.06%,30.82%,259,59.18,42.89,1.30,1.93,4.08,42.89,83.33
SMA,50,2,6,1.0,2,1.1,4,9.0,8.0,4,5,T3,200,0.0,T3,75,0.0,1318.71%,23.16%,269,75.95,56.94,3.40,1.84,4.62,56.94,100.00
ALMA,75,8,4,1.0,2,2.6,2,6.0,5.0,7,5,WMA,125,0.0,WMA,50,1.0,1314.20%,16.92%,275,75.64,77.66,2.13,1.71,4.19,77.66,100.00
ALMA,75,7,2,1.2,2,1.0,2,4.0,5.0,7,6,T3,200,0.0,T3,25,0.5,1304.27%,28.96%,345,47.35,45.04,1.51,1.56,5.30,45.04,83.33
EMA,25,8,4,1.0,2,1.0,3,3.0,4.0,6,5,VWMA,200,0.0,VWMA,25,0.0,1303.47%,24.95%,323,57.49,52.24,1.77,1.47,4.42,52.24,100.00
DEMA,25,7,3,1.2,2,1.2,3,3.0,9.0,3,5,T3,200,-1.0,T3,50,0.0,1298.78%,25.01%,324,70.17,51.93,1.82,1.74,4.25,51.93,100.00
ALMA,100,5,3,1.0,2,1.1,4,7.0,3.0,4,2,T3,200,0.0,T3,100,0.0,1291.93%,27.40%,261,48.68,47.16,1.47,1.56,6.30,47.16,100.00
